name,height,weight,base_experience,type_main,hp,attack,defense,special_attack,special_defense,speed,power_score,strong
gothorita,7,180,137,psychic,60,45,70,75,85,55,390,0
alakazam,15,480,225,psychic,55,50,45,135,95,120,500,0
binacle,5,310,61,rock,42,52,67,39,56,50,306,0
nacli,4,160,56,rock,55,55,75,35,35,25,280,0
stonjourner,25,5200,165,rock,100,125,135,20,20,70,470,0
minior-red-meteor,3,400,154,rock,60,60,100,60,100,60,440,0
shieldon,5,570,70,rock,30,42,118,42,88,30,350,0
anorith,7,125,71,rock,45,95,50,40,50,75,355,0
solrock,12,1540,161,rock,90,95,85,55,65,70,460,0
klawf,13,790,158,rock,70,100,115,35,55,75,450,0
cradily,15,604,173,rock,86,81,97,81,107,43,495,0
garganacl,23,2400,250,rock,100,100,130,45,90,35,500,0
archen,5,95,71,rock,55,112,45,74,45,70,401,0
omanyte,4,75,71,rock,35,40,100,90,55,35,355,0
bastiodon,13,1495,173,rock,60,52,168,47,138,30,495,0
rolycoly,3,120,48,rock,30,40,50,40,50,30,240,0
larvitar,6,720,60,rock,50,64,50,45,50,41,300,0
lileep,10,238,71,rock,66,41,77,61,87,23,355,0
pupitar,12,1520,144,rock,70,84,70,65,70,51,410,0
boldore,9,1020,137,rock,70,105,105,50,40,20,390,0
golem,14,3000,223,rock,80,120,130,55,65,45,495,0
geodude,4,200,60,rock,40,80,100,30,30,20,300,0
glimmet,7,80,70,rock,48,35,42,105,60,60,350,0
gourgeist-average,9,125,173,ghost,65,90,122,58,75,84,494,0
pumpkaboo-average,4,50,67,ghost,49,66,70,44,55,51,335,0
misdreavus,7,10,87,ghost,60,60,60,85,85,85,435,0
gengar,15,405,225,ghost,60,65,60,130,75,110,500,0
trevenant,15,710,166,ghost,85,110,76,65,82,56,474,0
duskull,8,150,59,ghost,20,40,90,30,90,25,295,0
phantump,4,70,62,ghost,43,70,48,50,60,38,309,0
drifloon,4,12,70,ghost,90,50,34,60,44,70,348,0
shuppet,6,23,59,ghost,44,75,35,63,33,45,295,0
spiritomb,10,1080,170,ghost,50,92,108,92,108,35,485,0
polteageist,2,4,178,ghost,60,65,65,134,114,70,508,0
dusclops,16,306,159,ghost,40,70,130,60,130,25,455,0
houndstone,20,150,171,ghost,72,101,100,50,97,68,488,0
gimmighoul,3,50,60,ghost,45,30,70,75,70,10,300,0
snorunt,7,168,60,ice,50,50,50,50,50,50,300,0
bergmite,10,995,61,ice,55,69,85,32,35,28,304,0
froslass,13,266,168,ice,70,80,70,80,70,110,480,0
jynx,14,406,159,ice,65,50,35,115,95,95,455,0
vanillite,4,57,61,ice,36,50,50,65,60,44,305,0
beartic,26,2600,177,ice,95,130,80,70,80,50,505,0
sealeo,11,876,144,ice,90,60,70,75,70,45,410,0
smoochum,4,60,61,ice,45,30,15,85,65,65,305,0
eiscue-ice,14,890,165,ice,75,80,110,65,90,50,470,0
raikou,19,1780,261,electric,90,85,75,115,100,115,580,1
miraidon,35,2400,335,electric,100,85,100,135,115,135,670,1
ampharos,14,615,230,electric,90,75,85,115,90,55,510,1
luxray,14,420,235,electric,80,120,79,95,79,70,523,1
zapdos,16,526,261,electric,90,90,85,125,90,100,580,1
zeraora,15,445,270,electric,88,112,75,102,80,143,600,1
thundurus-incarnate,15,610,261,electric,79,115,70,125,80,111,580,1
sandy-shocks,23,600,285,electric,85,81,97,121,85,101,570,1
aurorus,27,2250,104,rock,123,77,72,99,92,58,521,1
gigalith,17,2600,232,rock,85,135,130,60,80,25,515,1
diancie,7,88,270,rock,50,100,150,100,150,50,600,1
probopass,14,3400,184,rock,60,55,145,75,150,40,525,1
stakataka,55,8200,257,rock,61,131,211,53,101,13,570,1
archeops,14,320,177,rock,75,140,65,112,65,110,567,1
coalossal,28,3105,255,rock,110,80,120,80,90,30,510,1
iron-thorns,16,3030,285,rock,100,134,110,70,84,72,570,1
braviary,15,410,179,normal,100,123,75,57,75,80,510,1
arceus,32,3200,324,normal,120,120,120,120,120,120,720,1
lickilicky,17,1400,180,normal,110,85,95,80,95,50,515,1
snorlax,21,4600,189,normal,160,110,65,65,110,30,540,1
porygon2,6,325,180,normal,85,80,90,105,95,60,515,1
regigigas,37,4200,302,normal,110,160,110,80,110,100,670,1
wyrdeer,18,951,263,normal,103,105,72,105,75,65,525,1
articuno,17,554,261,ice,90,85,100,95,125,85,580,1
iron-bundle,6,110,285,ice,56,80,114,124,60,136,570,1
vanilluxe,13,575,241,ice,71,95,85,110,95,79,535,1
regice,18,1750,261,ice,80,50,100,100,200,50,580,1
mamoswine,25,2910,239,ice,110,130,80,70,60,80,530,1
walrein,14,1506,239,ice,110,80,90,95,90,65,530,1
dreepy,5,20,54,dragon,28,60,30,40,30,82,270,0
tatsugiri-curly,3,80,166,dragon,68,50,60,120,95,82,475,0
hakamo-o,12,470,147,dragon,55,75,90,65,70,65,420,0
dratini,18,33,60,dragon,41,64,45,50,50,50,300,0
bagon,6,421,60,dragon,45,75,60,40,30,50,300,0
dragonair,40,165,147,dragon,61,84,65,70,70,70,420,0
sliggoo,8,175,158,dragon,68,75,53,83,113,60,452,0
altaria,11,206,172,dragon,75,70,90,70,105,80,490,0
fraxure,10,360,144,dragon,66,117,70,40,50,67,410,0
cyclizar,16,630,175,dragon,70,95,65,85,65,121,501,0
zygarde-50,50,3050,270,dragon,108,100,121,81,95,95,600,1
rayquaza,70,2065,306,dragon,105,150,90,150,90,95,680,1
haxorus,18,1055,243,dragon,76,147,90,60,70,97,540,1
latias,14,400,270,dragon,80,80,90,110,130,110,600,1
dragonite,22,2100,270,dragon,91,134,95,100,100,80,600,1
baxcalibur,21,2100,300,dragon,115,145,92,75,86,87,600,1
garchomp,19,950,270,dragon,108,130,95,80,85,102,600,1
kommo-o,16,782,270,dragon,75,110,125,100,105,85,600,1
cresselia,15,856,270,psychic,120,70,110,75,120,85,580,1
deoxys-normal,17,608,270,psychic,50,150,50,150,50,150,600,1
gallade,16,520,233,psychic,68,125,65,65,115,80,518,1
lugia,52,2160,306,psychic,106,90,130,90,154,110,680,1
gardevoir,16,484,233,psychic,68,65,65,125,115,80,518,1
victini,4,40,270,psychic,100,100,100,100,100,100,600,1
uxie,3,3,261,psychic,75,75,130,75,130,95,580,1
necrozma,24,2300,270,psychic,97,107,101,127,89,79,600,1
mesprit,3,3,261,psychic,80,105,105,105,105,80,580,1
fezandipiti,14,301,278,poison,88,91,82,70,125,99,555,1
naganadel,36,1500,243,poison,73,73,73,127,73,121,540,1
pecharunt,3,3,300,poison,88,88,160,88,88,88,600,1
hydreigon,18,1600,270,dark,92,105,90,125,90,98,600,1
chi-yu,4,49,285,dark,55,80,80,135,120,100,570,1
iron-jugulis,13,1110,285,dark,94,80,86,122,80,108,570,1
umbreon,10,270,184,dark,95,65,110,60,130,65,525,1
darkrai,15,505,270,dark,70,90,90,135,90,125,600,1
overqwil,25,605,179,dark,85,115,95,65,65,85,510,1
ting-lu,27,6997,285,dark,155,110,125,55,80,45,570,1
yveltal,58,2030,306,dark,126,131,95,131,98,99,680,1
zoroark,16,811,179,dark,60,105,60,120,60,105,510,1
honchkrow,9,273,177,dark,100,125,52,105,52,71,505,0
mightyena,10,370,147,dark,70,90,70,60,60,70,420,0
thievul,12,199,159,dark,70,58,58,87,92,90,455,0
houndoom,14,350,175,dark,75,90,50,110,80,95,500,0
scrafty,11,300,171,dark,65,90,115,45,115,58,488,0
sneasel,9,280,86,dark,55,95,55,35,75,115,430,0
bisharp,16,700,172,dark,65,125,100,60,70,70,490,0
absol,12,470,163,dark,65,130,60,75,60,75,465,0
sableye,5,110,133,dark,50,75,75,65,65,50,380,0
pawniard,5,102,68,dark,45,85,70,40,40,60,340,0
scraggy,6,118,70,dark,50,75,70,35,70,48,348,0
purrloin,4,101,56,dark,41,50,37,50,37,66,281,0
zorua,7,125,66,dark,40,65,40,80,40,65,330,0
gholdengo,12,300,275,steel,87,60,95,133,91,84,550,1
archaludon,20,600,300,steel,90,105,130,125,65,85,600,1
